ID	Source	Change	Target
Guarani0057	Ha’e ombojerekuri umi kutuhakuéra poro’o	PERSON:2_SI	Nde rembojerekuri umi kutuhakuéra tuicháva
Guarani0058	Ha’e ombojerekuri umi kutuhakuéra poro’o	TYPE:NEG	Ha’e ndombojereikuri umi kutuhakuéra tuicháva
Guarani0059	Ha’e ombojerekuri umi kutuhakuéra poro’o	ASPECT:IPFV	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva
Guarani0197	Mombe’ukuéra omboty kuri pende arete	TYPE:NEG	Mombe’ukuéra ndombotyi kuri pende arete
Guarani0198	Mombe’ukuéra omboty kuri pende arete	ASPECT:IPFV	Mombe’ukuéra omboty kuri hína pende arete
Guarani0199	Mombe’ukuéra omboty kuri pende arete	PERSON:3_SI	Mombe’u omboty kuri pende arete
Guarani0200	Mombe’ukuéra omboty kuri pende arete	TENSE:FUT_SIM	Mombe’ukuéra ombotyta pende arete
Guarani0201	Mombe’ukuéra omboty kuri pende arete	TENSE:PAS_PLU	Mombe’ukuéra ombotyva’ekue pende arete
Guarani0202	Mombe’ukuéra omboty kuri pende arete	TENSE:PRE_SIM	Mombe’ukuéra omboty pende arete
Guarani0190	Pe? napejapómi ogyke pokã	PERSON:1_PL_INC	Ñande najajapómi ogyke pokã
Guarani0191	Pe? napejapómi ogyke pokã	PERSON:1_PL_EXC	Ore norojapómi ogyke pokã
Guarani0192	Pe? napejapómi ogyke pokã	TENSE:PAS_REC	Pe? napejapói kuri ogyke pokã
Guarani0193	Pe? napejapómi ogyke pokã	TENSE:PRE_SIM	Pe? napejapói ogyke pokã
Guarani0194	Pe? napejapómi ogyke pokã	TYPE:AFF	Pe? pejapomi ogyke pokã
Guarani0195	Pe? napejapómi ogyke pokã	PERSON:3_PL	Ha’ekuéra nojapómi ogyke pokã
Guarani0196	Pe? napejapómi ogyke pokã	PERSON:2_SI	Nde nderejapómi ogyke pokã
Guarani0060	Ko po ojupi	TENSE:FUT_SIM	Ko po ojupíta
Guarani0061	Ko po ojupi	TYPE:NEG	Ko po ndojupíri
Guarani0062	Ko po ojupi	ASPECT:IPFV	Ko po ojupíhina
Guarani0103	Ku mbói oñorairõ	ASPECT:IPFV	Ku mbói oñorairõ hína
Guarani0104	Ku mbói oñorairõ	ASPECT:INM	Ku mbói oñorairõ ikóni
Guarani0105	Ku mbói oñorairõ	PERSON:3_PL	Umi mbóikuera oñorairõ
Guarani0106	Ku mbói oñorairõ	TENSE:PAS_IMP	Ku mbói oñorairõmi
Guarani0107	Ku mbói oñorairõ	TENSE:FUT_SIM	Ku mbói oñorairõta
Guarani0108	Ku mbói oñorairõ	TYPE:NEG	Ku mbói noñorairõi
Guarani0083	Temirendukuéra omongakuaa	PERSON:3_SI	Temirendu omongakuaa
Guarani0084	Temirendukuéra omongakuaa	TENSE:FUT_SIM	Temirendukuéra omongakuaata
Guarani0085	Temirendukuéra omongakuaa	TYPE:NEG	Temirendukuéra ndomongakuaai
Guarani0086	Temirendukuéra omongakuaa	ASPECT:IPFV	Temirendukuéra omongakuaa hína
Guarani0087	Temirendukuéra omongakuaa	TENSE:PAS_IMP	Temirendukuéra omongakuaami
Guarani0098	Pohanohára akãguapy ndombovuta	TENSE:PRE_SIM	Pohanohára akãguapy ndombovúi
Guarani0099	Pohanohára akãguapy ndombovuta	TYPE:AFF	Pohanohára akãguapy ombovuta
Guarani0100	Pohanohára akãguapy ndombovuta	TENSE:PAS_REC	Pohanohára akãguapy ndombovúi kuri
Guarani0101	Pohanohára akãguapy ndombovuta	PERSON:3_PL	Pohanohárakuera akãguapy ndombovúita
Guarani0102	Pohanohára akãguapy ndombovuta	TENSE:PAS_PLU	Pohanohára akãguapy ndombovúiva’ekue
Guarani0109	Ha’e ombojára kuri mbovy apekuéra	TYPE:NEG	Ha’e ndombojárai kuri mbovy apekuéra
Guarani0110	Ha’e ombojára kuri mbovy apekuéra	PERSON:2_SI	Nde rembojára kuri mbovy apekuéra
Guarani0111	Ha’e ombojára kuri mbovy apekuéra	PERSON:1_SI	Che ambojára kuri mbovy apekuéra
Guarani0112	Ha’e ombojára kuri mbovy apekuéra	TENSE:FUT_SIM	Ha’e ombojárata mbovy apekuéra
Guarani0113	Ha’e ombojára kuri mbovy apekuéra	ASPECT:IPFV	Ha’e ombojára kuri hína mbovy apekuéra
Guarani0149	Chéngo ndaikuaái upévape.	TYPE:AFF	Chéngo aikuaá upévape.
Guarani0150	Chéngo ndaikuaái upévape.	TENSE:PAS_REC	Chéngo ndaikuaái kuri hina upévape.
Guarani0151	Chéngo ndaikuaái upévape.	PERSON:2_SI	Ndéngo ndereikuaái upévape.
Guarani0161	Ha’ekuéra naiñemoñaréi kuri	TYPE:AFF	Ha’ekuéra oñemoñaréi kuri
Guarani0162	Ha’ekuéra naiñemoñaréi kuri	TENSE:FUT_SIM	Ha’ekuéra naiñemoñaréita
Guarani0163	Ha’ekuéra naiñemoñaréi kuri	PERSON:1_PL_INC	Ñande naiñañemoñaréi kuri
Guarani0164	Ha’ekuéra naiñemoñaréi kuri	PERSON:1_PL_EXC	Ore nairoñemoñaréi kuri
Guarani0165	Ha’ekuéra naiñemoñaréi kuri	PERSON:2_PL	Peë naipeñemoñaréi kuri
Guarani0166	Ha’ekuéra naiñemoñaréi kuri	TENSE:PRE_SIM	Ha’ekuéra ndoñemoñaréi
Guarani0052	Apurahéi kuri	TYPE:NEG	Ndapurahéi kuri
Guarani0053	Apurahéi kuri	ASPECT:IPFV	Apurahéihina kuri
Guarani0054	Apurahéi kuri	TENSE:PAS_PLU	Apurahéi va’ekue
Guarani0055	Apurahéi kuri	TENSE:FUT_SIM	Apurahéitta
Guarani0056	Apurahéi kuri	PERSON:3_PL	Ha’ekuéra opurahéikuri
Guarani0014	He’i ka’i ruvicha ta’ýra kuérape	PERSON:1_SI	Che, ka’i ruvicha, ha’e che ta’yrakuérape
Guarani0015	He’i ka’i ruvicha ta’ýra kuérape	PERSON:2_SI	Nde, ka’i ruvicha ere nde ta’yrakuérape
Guarani0016	He’i ka’i ruvicha ta’ýra kuérape	TYPE:NEG	He’i ka’i ruvicha ita’ýrakuérape
Guarani0088	Che nañemoingeta	TENSE:PRE_SIM	Che nañemoingei
Guarani0089	Che nañemoingeta	TYPE:AFF	Che añemoingeta
Guarani0090	Che nañemoingeta	TENSE:PAS_IMP	Che nañemoingeimi
Guarani0091	Che nañemoingeta	PERSON:2_SI	Nde nareñemoingeta
Guarani0092	Che nañemoingeta	PERSON:1_PL_EXC	Ore noroñemoingeta
Guarani0128	Che ajavými iñeikotev?va akuápe	TYPE:NEG	Che ndajavýimi iñeikotev?va akuápe
Guarani0129	Che ajavými iñeikotev?va akuápe	ASPECT:IPFV	Che ajavýimi hína iñeikotev?va akuápe
Guarani0130	Che ajavými iñeikotev?va akuápe	TENSE:FUT_SIM	Che ajavýta iñeikotev?va akuápe
Guarani0131	Che ajavými iñeikotev?va akuápe	TENSE:PRE_SIM	Che ajavy iñeikotev?va akuápe
Guarani0132	Che ajavými iñeikotev?va akuápe	PERSON:2_PL	Nde rejavýimi iñeikotev?va akuápe
Guarani0114	Ore ndorokuave’?i umi tembi’ukuéra pytagua	TYPE:AFF	Ore rokuave’? umi tembi’ukuéra pytagua
Guarani0115	Ore ndorokuave’?i umi tembi’ukuéra pytagua	ASPECT:IPFV	Ore ndorokuave’?i hina umi tembi’ukuéra pytagua
Guarani0116	Ore ndorokuave’?i umi tembi’ukuéra pytagua	ASPECT:INM	Ore ndorokuave’?i ikóni umi tembi’ukuéra pytagua
Guarani0117	Ore ndorokuave’?i umi tembi’ukuéra pytagua	TENSE:PAS_IMP	Ore ndorokuave’?imi umi tembi’ukuéra pytagua
Guarani0118	Ore ndorokuave’?i umi tembi’ukuéra pytagua	PERSON:1_PL_INC	Ñande ndañakuave’?i umi tembi’ukuéra pytagua
Guarani0119	Ore ndorokuave’?i umi tembi’ukuéra pytagua	PERSON:1_SI	Che ndaikuave’?i umi tembi’ukuéra pytagua
Guarani0120	Ore ndorokuave’?i umi tembi’ukuéra pytagua	PERSON:2_PL	Nde ndereikuave’?i umi tembi’ukuéra pytagua
Guarani0252	Nde reñembosarái hína	TYPE:NEG	Nde nereñembosaráiri hína
Guarani0253	Nde reñembosarái hína	PERSON:1_SI	Che añembosarái hína
